Lat,Long,Satellite,Time_UTC,Date,Source,PROVINSI,KAB_KOTA,kec2006,desaa2006,nama_kaw
1.78,100.855,NOAA19,8:32:26 AM,20161020,ASMC,RIAU,ROKAN HILIR,KECAMATAN BANGKO PUSAKO,TELUK BANO I,
-0.84,101.61,NOAA19,8:30:04 AM,20161221,ASMC,SUMATERA BARAT,DHARMASRAYA,KUANTAN MUDIK,PANTAI,HL. BUKIT BATABUH LUBUK JAMBI
-4.565,105.515,NOAA19,8:30:04 AM,20161221,ASMC,LAMPUNG,LAMPUNG TENGAH,BANDAR MATARAM,MATARAM UDIK,
-0.86,101.6,NOAA19,8:30:04 AM,20161221,ASMC,SUMATERA BARAT,DHARMASRAYA,SITIUNG,TABEK PANYUBARANGAN BARU,
1.83,100.785,NOAA19,8:21:17 AM,20161021,ASMC,RIAU,ROKAN HILIR,KECAMATAN BANGKO PUSAKO,BALAM SEMPURNA,
1.81,100.07,NOAA19,8:21:17 AM,20161021,ASMC,SUMATERA UTARA,LABUHANBATU SELATAN,KOTA PINANG,SIMATAHARI,
1.786,100.831,NOAA19,8:21:17 AM,20161021,ASMC,RIAU,ROKAN HILIR,KECAMATAN BANGKO PUSAKO,BALAM SEMPURNA,
1.28,100.64,NOAA19,8:21:17 AM,20161021,ASMC,RIAU,ROKAN HILIR,KECAMATAN PUJUD,AIR HITAM,
1.4,100.55,NOAA19,8:21:17 AM,20161021,ASMC,RIAU,ROKAN HILIR,KECAMATAN PUJUD,TANJUNG MEDAN,
1.325,99.77,NOAA19,8:21:17 AM,20161021,ASMC,SUMATERA UTARA,PADANG LAWAS,BARUMUN,AEKHARUAYA),
-0.604,116.008,NOAA19,6:42:19 AM,20161021,ASMC,KALIMANTAN TIMUR,KUTAI BARAT,MUARA PAHU,BETUNG,
-4.653,121.613,NOAA19,6:42:19 AM,20161021,ASMC,SULAWESI TENGGARA,BOMBANA,POLEANG,PUKURUMBA,
0.45,114.01,NOAA19,6:31:54 AM,20161022,ASMC,KALIMANTAN TENGAH,MURUNGRAYA,SUMBER BARITO,TUMBANG JOJANG,
